dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
german,lr,dir,48,48,48,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8417508417508418,-0.09194282001299547,-0.08859784283513095,0.8854251012145749,0.02205100003629923,1.0237999958917499,2.25285004125908,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,49,49,49,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.8448844884488449,-0.19395711500974655,-0.1140215716486902,0.7723112128146453,0.028625800041481853,1.0716000106185675,2.5554000167176127,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,50,50,50,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.735,0.8166089965397924,-0.205003248862898,-0.13713405238828968,0.7384997927890593,0.02666159998625517,1.06669997330755,2.2771499352529645,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,lr,dir,51,51,51,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.715,0.8054607508532423,-0.16471734892787526,-0.13713405238828968,0.7931456548347613,0.034418300027027726,1.1084500001743436,5.170100019313395,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,42,42,42,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.765,0.842809364548495,-0.1692657569850552,-0.09707241910631736,0.7953652788688139,0.1246499001281336,3.2927499851211905,6.237199995666742,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,43,43,43,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.72,0.8181818181818182,-0.22482131254061077,-0.1510015408320493,0.7453073242546927,0.13226450001820922,3.2985000289045274,5.841999955009669,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,44,44,44,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.76,0.8421052631578947,-0.2651072124756335,-0.16795069337442226,0.6954087346024637,0.16378069994971156,3.2824500231072307,6.14269997458905,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,45,45,45,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.725,0.8242811501597445,-0.06075373619233271,-0.06856702619414479,0.9306893995552261,0.1169346000533551,3.198550024535507,6.082449923269451,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,46,46,46,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.74,0.8375,-0.0714749837556855,-0.057010785824345156,0.9217638691322901,0.12780209991615266,3.1508999527432024,5.91149996034801,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,47,47,47,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.79,0.864516129032258,-0.1072124756335282,-0.0030816640986132127,0.8768197088465847,0.11636360001284629,3.2275000121444464,6.453850015532225,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,48,48,48,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.77,0.8506493506493507,-0.19233268356075373,-0.13944530046224957,0.7805782060785768,0.12736439995933324,3.15140001475811,5.84694993449375,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,49,49,49,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.785,0.8617363344051447,-0.11338531513970107,-0.0030816640986132127,0.8706449221645663,0.11802400008309633,3.138700034469366,6.216500012669712,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,50,50,50,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.79,0.8590604026845637,-0.22807017543859653,-0.1140215716486902,0.7263157894736841,0.11422660003881902,3.1316999811679125,5.725900002289563,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
german,rf,dir,51,51,51,age,[{'age': 1.0}],[{'age': 0.0}],600,200,200,0.745,0.8338762214983714,-0.08869395711500971,0.04776579352850541,0.8958810068649886,0.12078010011464357,3.1180499936454,6.606650014873594,24,1,2,preprocessing,3,"repair_level=1.0,n_quantiles=101,train_only_fit=True",0.6.1,1.5.2,
