dataset,model,method,seed,split_seed,model_seed,protected_attribute,privileged_group,unprivileged_group,n_train,n_val,n_test,accuracy,f1,spd,eod,disparate_impact,train_time_sec,single_pred_latency_ms,batch_256_latency_ms,implementation_loc_added,implementation_dependencies_added,implementation_hyperparams,implementation_stage,implementation_complexity_score,method_hyperparams,aif360_version,sklearn_version,notes
adult,rf,dir,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8563847429519071,0.6558940397350993,-0.15781987875089146,-0.12112881155927135,0.2851274631654724,1.144522099988535,3.6283000372350216,8.731350069865584,24,1,5,preprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.848297213622291, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,4096,4096,4096,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.835599778883361,0.6054656407535155,-0.09030592235371764,-0.03159090623783872,0.5442909405852894,1.0330675998702645,2.1563000045716763,4.105500061996281,22,0,3,postprocessing,3,"{""n_estimators"": 100, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8502874834144184}",0.6.1,1.5.2,tuned_hp
adult,lr,baseline,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8490878938640133,0.6666666666666666,-0.19863476896257307,-0.13491884156215866,0.26269671775959197,0.17328200000338256,0.0716999638825655,0.13485003728419542,0,0,1,none,1,"{""C"": 0.1, ""val_acc"": 0.8469703670942061}",0.6.1,1.5.2,tuned_hp
adult,lr,reweighing,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.844776119402985,0.6429298067141404,-0.09734399656204155,0.1466940333170138,0.554435949769246,0.13206330011598766,0.05059991963207722,0.1383499475196004,6,0,1,preprocessing,2,"{""C"": 0.1, ""val_acc"": 0.8415524104378593}",0.6.1,1.5.2,tuned_hp
adult,lr,dir,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8507462686567164,0.6674876847290641,-0.1923986770190288,-0.1261596304246852,0.269865555078813,0.3592344999779016,1.7858499195426702,4.095899988897145,24,1,3,preprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8490712074303406, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,lr,eqodds,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8160309563294638,0.5939482674475354,-0.08975263706279235,-0.004578892529406575,0.6170303271101257,0.1759281000122428,0.16930000856518745,0.39380008820444345,22,0,1,postprocessing,3,"{""C"": 0.1, ""val_acc"": 0.8469703670942061}",0.6.1,1.5.2,tuned_hp
adult,rf,baseline,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.857158651188502,0.6621338912133892,-0.17189307378649196,-0.1322857429794499,0.25508934809061756,1.946401699911803,4.179599927738309,8.711999980732799,0,0,3,none,1,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8563688633348077}",0.6.1,1.5.2,tuned_hp
adult,rf,reweighing,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8532891100055279,0.6429916599408125,-0.1069909649944103,0.08083204659862664,0.45919964217229364,2.7331151999533176,4.525099997408688,10.20895002875477,6,0,3,preprocessing,2,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8537151702786377}",0.6.1,1.5.2,tuned_hp
adult,rf,dir,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.854726368159204,0.6545741324921136,-0.16760955678443448,-0.13183381664344268,0.26213125181993,2.237674599746242,6.201950018294156,17.895800061523914,24,1,5,preprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8538257408226448, ""repair_level"": 1.0, ""n_quantiles"": 101}",0.6.1,1.5.2,tuned_hp
adult,rf,eqodds,8192,8192,8192,sex,[{'sex': 1.0}],[{'sex': 0.0}],27133,9044,9045,0.8252072968490879,0.5762530152774055,-0.07954630940489149,0.003000288730714673,0.5823647762456857,2.97491419990547,4.806850105524063,10.792199987918139,22,0,3,postprocessing,3,"{""n_estimators"": 200, ""max_depth"": 10, ""class_weight"": null, ""val_acc"": 0.8563688633348077}",0.6.1,1.5.2,tuned_hp
