"dataset","model","method","seed","batch_size","latency_ms_median","latency_ms_mean","latency_ms_std","latency_ci_lo","latency_ci_hi","throughput_per_sec","aif360_version","sklearn_version","notes"
"adult","lr","reweighing","256","1","0.08320016786456108","0.08423199411481619","0.0026951085029857285","0.08299993351101875","0.08370005525648594","12019.20651924487","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","256","32","0.08880009409040213","0.08933400269597769","0.0033519528806647686","0.08860009256750345","0.08899998210836202","360359.97853135935","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","256","128","0.20539993420243263","0.2015420002862811","0.041374862731133735","0.18450012430548668","0.21045116591267288","623174.4936872723","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","256","256","0.19459996838122606","0.20452397875487804","0.04067474709515399","0.19189619924873114","0.1970499288290739","1315519.2271074257","0.6.1","1.5.2","multi_batch"
"adult","lr","reweighing","256","1024","0.5480999825522304","0.7138589886017144","0.7364382598754835","0.5047001177445054","0.6062000757083297","1868272.2725728594","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","256","1","1.916249981150031","2.163180010393262","0.7543568364802323","1.738299964927137","2.1201500203460455","521.8525817805114","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","256","32","2.9523499542847276","3.2836179877631366","0.8347342905376595","2.7254499727860093","3.202203687396832","10838.823478076707","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","256","128","3.6417999072000384","4.068111986853182","1.208740095993982","3.4585000248625875","3.958699991926551","35147.45545106335","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","256","256","4.718399955891073","5.672489001881331","2.1423342579410294","4.2189001105725765","5.800799932330847","54255.68039868597","0.6.1","1.5.2","multi_batch"
"adult","lr","dir","256","1024","8.078900049440563","9.755302995909005","4.960943829908394","7.580999983474612","8.990150061435997","126749.92805127086","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","256","1","0.1542000100016594","0.18319699447602034","0.06509332694420937","0.15380000695586205","0.1553000183776021","6485.083885463034","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","256","32","0.17199991270899773","0.19220699556171894","0.06640002329317812","0.1716997940093279","0.17239991575479507","186046.60604764367","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","256","128","0.2871500328183174","0.33412198768928647","0.09960792385081743","0.28220005333423615","0.29390002600848675","445760.0047741831","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","256","256","0.36474992521107197","0.42406397871673107","0.13559578090585672","0.3512999974191189","0.38810004480183125","701850.7264994201","0.6.1","1.5.2","multi_batch"
"adult","lr","eqodds","256","1024","1.2051500380039215","1.3982849917374551","0.7437927146007313","1.0886749107157812","1.3286999892443419","849686.7341895797","0.6.1","1.5.2","multi_batch"
"adult","rf","baseline","256","1","2.2054999135434628","2.655449006706476","1.0565961716634842","2.080949954688549","2.446299884468317","453.4119425075613","0.6.1","1.5.2","multi_batch"
